vector_size;vector_vector;matrix_vector
2;7;1
2;0;0
2;0;0
2;0;0
2;0;1
2;0;0
2;0;0
2;0;0
2;0;0
2;0;0
30;0;0
30;0;0
30;0;0
30;0;0
30;0;1
30;0;0
30;0;0
30;0;1
30;0;0
30;0;0
100;0;0
100;0;1
100;0;1
100;0;1
100;0;0
100;0;0
100;0;0
100;0;1
100;1;0
100;0;1
500;2;2
500;2;1
500;2;1
500;2;1
500;2;2
500;2;2
500;2;2
500;1;2
500;2;2
500;2;1
1000;4;3
1000;3;3
1000;4;3
1000;3;4
1000;3;3
1000;3;4
1000;3;3
1000;3;4
1000;3;4
1000;4;4
10000;34;34
10000;26;26
10000;25;26
10000;30;11
10000;11;12
10000;11;12
10000;10;10
10000;13;10
10000;12;10
10000;10;11
100000;121;110
100000;121;125
100000;154;142
100000;140;146
100000;109;104
100000;116;95
100000;85;81
100000;82;81
100000;81;82
100000;82;81
500000;862;490
500000;574;516
500000;622;525
500000;494;485
500000;483;488
500000;519;480
500000;654;498
500000;508;637
500000;494;478
500000;494;487
850000;1112;1114
850000;1089;987
850000;997;1038
850000;996;1089
850000;984;962
850000;983;1112
850000;981;979
850000;984;986
850000;1122;980
850000;967;975
1000000;1161;1119
1000000;1111;1273
1000000;1322;1209
1000000;1123;1113
1000000;1128;1129
1000000;1129;1125
1000000;1256;1221
1000000;1165;1121
1000000;1125;1118
1000000;1126;1105
3000000;3583;3382
3000000;3406;2866
3000000;3065;3391
3000000;3076;3196
3000000;3224;2840
3000000;3502;3958
3000000;2789;2871
3000000;3434;2947
3000000;3405;3062
3000000;3415;3093
