size,naive,blas
50,0.009993,0.000159
50,0.003019,0.000109
50,0.002814,0.000109
50,0.002858,0.000115
50,0.002860,0.000108
50,0.003561,0.000109
50,0.003163,0.000109
50,0.002843,0.000106
50,0.003534,0.000108
50,0.002855,0.000114
100,0.023501,0.000653
100,0.024348,0.000744
100,0.026018,0.000773
100,0.024707,0.000641
100,0.023312,0.000671
100,0.022513,0.000640
100,0.022515,0.000646
100,0.022334,0.000645
100,0.022629,0.000670
100,0.022926,0.000648
200,0.182576,0.004811
200,0.183314,0.004637
200,0.182428,0.004644
200,0.182597,0.004626
200,0.183550,0.004604
200,0.182672,0.004615
200,0.182595,0.004626
200,0.182572,0.004608
200,0.183619,0.004543
200,0.182572,0.004587
300,0.634936,0.014801
300,0.623745,0.014783
300,0.622893,0.014773
300,0.621732,0.014742
300,0.626238,0.014739
300,0.623025,0.015022
300,0.621458,0.014819
300,0.621702,0.014772
300,0.621547,0.014834
300,0.623021,0.014801
500,2.953014,0.065420
500,2.946314,0.064970
500,2.946560,0.065226
500,2.944355,0.075748
500,2.956057,0.064986
500,2.967314,0.064713
500,2.945457,0.064999
500,2.948048,0.072069
500,2.955435,0.065002
500,2.948061,0.064761
700,8.116615,0.180127
700,8.116965,0.198216
700,8.299985,0.179207
700,8.280999,0.178380
700,8.321259,0.179428
700,8.827742,0.178194
700,8.493205,0.231559
700,8.969070,0.178300
700,8.305367,0.180942
700,8.612374,0.177757
